3604
qstr_Breaking_camp... Breaking_camp...
qstr___He_smiles_at_you._ --He_smiles_at_you.--
qstr___He_takes_the_lette --He_takes_the_letter_from_your_hands.--
qstr___He_looks_up_from_t --He_looks_up_from_the_page_and_turns_to_you.--
qstr_Bodo_s_letter_has_fa Bodo's_letter_has_fallen_into_your_hands,_and_you_have_decided_that_you'll_figure_out_what_to_do_with_it_once_you're_done_with_the_Assembly_and_current_problems._For_now,_you_will_tell_{s9}_that_the_letter_was_burned_in_the_attack_on_Odin's_cave,_to_assure_him_that_{s11}_cannot_use_it_against_him.
qstr_Brunhild_thinks_that Brunhild_thinks_that_you_are_a_weak_leader.
qstr_Reginhard_thinks_tha Reginhard_thinks_that_you_are_a_weak_leader.
qstr_Bodo_thinks_that_you Bodo_thinks_that_you_are_a_weak_leader.
qstr_Brunhild_has_advised Brunhild_has_advised_that_you_go_first_to_an_enemy_of_{s9},_{s11},_for_support_before_you_place_yourself_in_the_hands_of_the_son_of_Ragnar.
qstr_I_m_not_sure_I_want_ I'm_not_sure_I_want_to_hear_what_you_are_going_to_say._(Phlegmatic)
qstr_You_are_worrying_me_ You_are_worrying_me,_Bodo._What_do_you_have_to_say?_Out_with_it_already!_(Melancholic)
qstr_I_m_very_calm..._Tru I'm_very_calm..._Trust_me,_you_wouldn't_like_to_see_me_nervous._I_have_little_patience._Speak,_or_I'll_beat_you_up._(Choleric)
qstr_Whatever_you_have_to Whatever_you_have_to_say,_say_it._I_prepared_myself_for_this_moment_a_long_time_ago._(Sanguine)
qstr_I_understand_my_frie I_understand,_my_friend,_but_you_must_know..._everything.
qstr_Stay_calm_please._I_ Stay_calm,_please._I'll_tell_you_everything.
qstr_No_need_to_be_aggres No_need_to_be_aggressive._You_know_my_loyalty_to_my_friends_is_unquestionable._Now,_open_your_ears.
qstr_I_admire_your_strong I_admire_your_strong_blood._I'll_tell_you_everything.
qstr___He_puts_his_hand_o --He_puts_his_hand_on_your_shoulder_and_smiles_sadly.--
qstr___He_sighs_impatient --He_sighs_impatiently.--
qstr___He_steps_back_take --He_steps_back,_takes_a_deep_breath,_and_looks_you_in_the_eyes.--
qstr_Sven_wanted_you_but_ Sven_wanted_you,_but_how_did_he_know_where_to_find_you?_Who_betrayed_us?_(Wisdom)
qstr_Your_redemption_and_ Your_redemption_and_my_goal_are_coincident._(Fortitude)
qstr_I_understand_that_wh I_understand_that_what_happened_was_caused_by_you,_but_it's_not_your_fault._(Temperance)
qstr_You_re_responsible_f You're_responsible_for_what_happened._After_Sven,_you_shall_pay_with_your_life._(Justice)
qstr___He_sighs_with_anno --He_sighs_with_annoyance.--
qstr___He_lowers_his_head --He_lowers_his_head,_embarrassed._His_hands_fidget.--
qstr___He_strains_his_fac --He_strains_his_face_and_stares_at_you_without_blinking.--
qstr_Info: Info:
qstr_Regarding_that_matte Regarding_that_matter,_I_thought_that_the_Woden_Ric_was_safe,_but_I_was_wrong._(Wisdom)
qstr_Note_Bodo:_Bodo_feel Note_Bodo:_Bodo_feels_indirectly_responsible_for_the_death_of_the_people_of_the_Woden_Ric.
qstr_So_our_paths_have_me So_our_paths_have_met,_my_friend._I'll_tell_you_the_rest._Then_we_can_work_together_against_our_mutual_enemy._(Fortitude)
qstr_Note_Bodo:_Bodo_felt Note_Bodo:_Bodo_felt_indirectly_responsible_for_the_death_of_the_people_of_the_Woden_Ric,_but_you_forgave_him.
qstr_Thanks_for_your_trus Thanks_for_your_trust._I_hope_to_be_worthy_of_it._(Temperance)
qstr_That_would_be_just._ That_would_be_just._I'd_pay_for_the_damage_caused._When_Sven_Bull_Neck_is_dead,_I_will_put_my_neck_under_your_sword._(Justice)
qstr_Note_Bodo:_Bodo_is_i Note_Bodo:_Bodo_is_indirectly_responsible_for_the_death_of_the_people_of_the_Woden_Ric._Your_sense_of_justice_dictates_that_he_must_die_when_Sven_Bull_Neck_is_dead,_to_atone_for_his_guilt._You've_committed_yourself_to_kill_him.
qstr___He_shrugs.__ --He_shrugs.--
qstr_Finally_all_roads_le Finally,_all_roads_lead_to_{s11}_'Snake_in_the_Eye.'_Sven_Bull_Neck_has_taken_your_mother_to_him,_because_{s11}_wants_an_object_that_Bodo_gave_your_mother_and_ask_her_for_very_important_information_he_told_her._Sven_thinks_your_mother_is_the_carrier_of_the_object_instead_of_Bodo._Therefore,_she_is_still_alive._You_must_hurry,_before_Sven_discovers_the_deception_and_kills_her.
qstr_Finally_all_roads_lea Finally,_all_roads_lead_to_{s11}_'Snake_in_the_Eye.'_Sven_Bull_Neck_has_taken_your_mother_with_him,_because_{s11}_wants_an_object_that_Bodo_gave_your_mother_and_information_he_told_her._Sven_thinks_your_mother_is_the_carrier_of_the_object_instead_of_Bodo._Therefore,_she_is_still_alive._You_must_hurry,_before_Sven_discovers_the_deception_and_kills_her.
qstr___He_takes_the_mead_ --He_takes_the_mead_jug_to_his_lips,_drinks_long,_and_then_he_just_looks_at_you.--
qstr_You_don_t_trust_me._ You_don't_trust_me._I_understand;_I_am_new_here._Maybe_I_should_leave._(Phlegmatic)
qstr_I_see..._Something_m I_see..._Something_makes_you_nervous._(Melancholic)
qstr_Look_at_me._Who_else Look_at_me._Who_else_that_comes_to_this_mead_hall_sits_with_you?_Nobody!_(Choleric)
qstr_You_looked_like_some You_looked_like_someone_that_would_appreciate_a_friend,_but_I_can_go_again._(Sanguine)
qstr_{s21}_seems_happy. {s21}_seems_happy.
qstr_Please_do_not_leave! Please,_do_not_leave!_Let's_keep_talking_and_drinking_together!
qstr_Nervous?_Me?_No_mate Nervous?_Me?_No,_mate._I_am_dangerous.
qstr_I_ve_just_gotten_to_ I've_just_gotten_to_know_you._How_do_I_know_that_someone_has_not_sent_you_to_extract_information?
qstr___He_smiles_drinks_a --He_smiles,_drinks_again,_and_you_see_the_mead_overflow_his_lips_and_course_down_his_chin._He_belches.--
qstr___He_seems_not_hear_ --He_seems_not_hear_you._Joy_crosses_his_face_at_an_idea_that_he_has_in_mind.--
qstr_{s11}_wants_you_to_m {s11}_wants_you_to_make_a_donation_for_Frisian_widows_and_orphans_to_Adda_in_{s4}._Her_shop_is_on_the_wharf.
qstr___He_looks_happy_to_ --He_looks_happy_to_hear_your_words.--
qstr___He_looks_at_you_wi --He_looks_at_you_with_deep_concern.--
qstr_You_have_decided_to_ You_have_decided_to_give_the_letter_of_the_king_of_Asturias_to_the_king_of_West_Seaxe._Take_it_to_{s11}.
qstr_You_have_decided_to_g You_have_decided_to_give_the_letter_to_Ragnar's_sons._Take_it_to_{s11}.
qstr___Bodo_seems_overcom --Bodo_seems_overcome_with_joy.--
qstr_Note_Bodo:_With_your Note_Bodo:_With_your_decision_to_deliver_the_letter_of_the_king_of_Asturias_to_the_Danish,_Bodo_felt_betrayed._The_Cantabrian_has_left_your_party_and_threatened_you_with_death_if_you_return_to_find_him.
qstr___His_face_goes_from --His_face_goes_from_bewilderment_to_uncontrolled_fury.--
qstr___Brunhild_comes_up_ --Brunhild_comes_up_to_you_and_hugs_you_tightly.--
qstr___His_eyes_are_a_wel --His_eyes_are_a_well_of_sorrow,_and_tears_ply_his_cheeks.--
qstr___Egil_bares_his_tee --Egil_bares_his_teeth._He_seems_angry.--
qstr_Note_Reginhard:_Regi Note_Reginhard:_Reginhard_betrayed_you_at_the_Assembly,_and_you_had_to_kill_him_in_a_holmgang_decreed_by_the_Assembly._In_the_end,_you_drove_Egil_out_of_your_party,_offended_by_his_insolence_and_disrespect.
qstr_Your_men_think_that_ Your_men_think_that_Egil_could_be_a_good_leader.
qstr___He_seems_surprised --He_seems_surprised,_but_the_surprise_is_soon_overtaken_by_intense_anger.--
qstr_Your_men_think_that_y Your_men_think_that_you_are_a_strong_leader,_but_they_will_miss_the_charisma_of_Egil.
qstr_Note_Egil:_Reginhard Note_Egil:_Reginhard_betrayed_you_at_the_Assembly,_but_you_spared_his_life._However,_Egil_did_not_accept_your_decision,_and_you_had_to_kill_him_in_a_holmgang_by_the_laws_of_Thing.^In_the_end,_you_drove_Reginhard_out_of_your_party,_unable_to_forgive_his_betrayal.
qstr_Note_Egil:_Reginhard_ Note_Egil:_Reginhard_betrayed_you_at_the_Assembly,_but_you_spared_his_life._However,_Egil_did_not_accept_your_decision,_and_you_had_to_kill_him_in_a_holmgang_by_the_laws_of_Thing.^In_the_end,_you_killed_Reginhard,_too,_unable_to_forgive_his_betrayal.
qstr_Note_Egil:_Reginhard_b Note_Egil:_Reginhard_betrayed_you_at_the_Assembly,_but_you_spared_his_life._However,_Egil_did_not_accept_your_decision,_and_you_had_to_kill_him_in_a_holmgang_by_the_laws_of_Thing.^You_forgave_Reginhard_of_treason_and_let_him_remain_in_your_company.
qstr___Reginhard_gathers_ --Reginhard_gathers_his_things_and_leaves.--
qstr_Your_men_think_that_yo Your_men_think_that_you_are_a_weak_leader_who_can't_punish_treachery.
qstr___You_approach_Regin --You_approach_Reginhard_and_slice_deep_into_his_neck_with_a_knife._You_watch_how_he_collapses,_losing_blood,_until_his_eyes_are_closed.--
qstr_Your_men_think_that_you Your_men_think_that_you_are_a_strong_leader_who_harshly_punishes_treachery.
qstr___He_seems_happy_to_ --He_seems_happy_to_hear_your_words.--
qstr_Your_men_think_that_you_ Your_men_think_that_you_are_a_weak_leader_who_allows_betrayal.
qstr___He_pushes_the_jar_ --He_pushes_the_jar_aside_and_drops_his_head.--
qstr___He_looks_at_you_wit --He_looks_at_you_with_tears_in_his_eyes.--
qstr_Reginhard_has_joined Reginhard_has_joined_you._He_informs_you_that_Thiaderd_and_his_men_are_at_the_foot_of_the_mountains_due_east_of_Dorestad._Thiaderd's_group_is_strong._Perhaps_you_ought_to_be_accompanied_by_a_large_group_of_men_who_support_you.
qstr_{s21}_seems_unhappy. {s21}_seems_unhappy.
qstr_{!}current_town_was_ {!}current_town_was_{reg1},_now_moved_to_{s7}
qstr_high high
qstr_low low
qstr_normal normal
qstr_Christianity Christianity
qstr_Norse_gods Norse_gods
qstr_The_subjects_of_our_ The_subjects_of_our_kingdom_officially_believe_in_{s4}._Collected_records_indicate_{reg13}_people_have_adopted_our_faith.
qstr_The_subjects_of_our_k The_subjects_of_our_kingdom_officially_believe_in_{s4}._Collected_records_indicate_{reg13}_people_have_given_up_our_faith.
qstr_the_{s12} the_{s12}
qstr_the_{s11}_and_{s12} the_{s11}_and_{s12}
qstr_the_{s11}_{s12} the_{s11},_{s12}
qstr_We_are_quite_happy_n We_are_quite_happy_not_to_be_at_war_with_anyone.
qstr_We_are_at_war_with_{ We_are_at_war_with_{s12}.
qstr___He_seems_pleased._ --He_seems_pleased.--
qstr___He_seems_upset.__ --He_seems_upset.--
qstr___He_seems_distresse --He_seems_distressed.--
qstr___He_looks_at_you_with --He_looks_at_you_with_his_shoulders_slumped._He_looks_dejected.--
qstr___He_looks_with_grie --He_looks_with_grief.--
qstr___He_spits_on_the_gr --He_spits_on_the_ground,_his_features_hard,_sadness_giving_way_to_anger--
qstr_Thiaderd_is_dead._Br Thiaderd_is_dead._Bring_the_news_to_the_jarl_of_{s3}.
qstr___He_looks_over_your --He_looks_over_your_shoulder_into_the_distance.--
qstr___He_puts_his_hand_on --He_puts_his_hand_on_your_shoulder_and_smiles.--
qstr___He_turns_away_from --He_turns_away_from_you_with_a_grimace.--
qstr___He_nods._You_note_ --He_nods._You_note_the_concern_in_his_eyes.--
qstr_{playername}_when_we {playername},_when_we_started_our_long_walk,_few_people_had_the_courage_to_support_me._Fewer_still_were_willing_to_put_their_lives_at_risk_for_my_cause,_but_you_didn't_hesitate_to_throw_yourself_at_my_enemies._We_have_gone_through_a_lot_together,_and_there_were_times_I_came_close_to_losing_all_hope,_but_we_prevailed._It_is_now_time_for_me_to_leave_your_shield_wall_and_take_what's_rightfully_mine._From_now_on,_I_will_carry_out_the_great_responsibility_of_ruling_the_{s3}._There_still_lie_many_challenges_ahead,_and_I_count_on_your_help_in_overcoming_those._Of_course,_you_will_always_be_my_foremost_vassal.
qstr_Find_and_speak_with_ Find_and_speak_with_{s3}_of_the_{s4}_to_give_him_your_oath_of_homage.
qstr__We_will_of_course_n _We_will_of_course_need_to_wait_until_the_realm_is_no_longer_on_campaign.
qstr_I_do_not_like_this_b I_do_not_like_this,_but_things_are_very_bad._Can_you_give_guarantees?
qstr_Well_I_guess_I_can_a Well,_I_guess_I_can_admit_defeat._I_guess_you_will_treat_us_well,_no?
qstr_Perhaps..._Do_you_gi Perhaps..._Do_you_give_your_word_of_honour_that_we'll_be_treated_well?
qstr_There_comes_a_time_w There_comes_a_time_when_every_good_leader_must_be_responsible_for_the_welfare_of_his_men._Do_you_give_your_word_of_honour_that_we'll_be_treated_well?
qstr_The_fort_has_been_de The_fort_has_been_defended_by_lions,_and_we_leave_it_with_our_heads_high._You_can_guarantee_our_safety?
qstr_Well_I_guess_I_can_ad Well,_I_guess_I_can_admit_defeat._We_will_leave_the_fort,_but_I_want_your_promise_that_you_will_not_attack_us.
qstr_We_are_ready_to_leav We_are_ready_to_leave_this_fort_to_you_and_march_away_if_you_give_me_your_word_of_honour_that_you'll_let_us_leave_unmolested.
qstr_There_comes_a_time_wh There_comes_a_time_when_every_good_leader_must_be_responsible_for_the_welfare_of_his_men._We_leave_the_fort._I_want_your_promise_that_you_will_not_attack_us.
qstr_You_re_nothing_but_s You're_nothing_but_scum._You_should_leave_before_we_kill_you.
qstr_You_re_wasting_your_ You're_wasting_your_time._Attack_us_--_if_you_have_the_courage.
qstr_You_have_called_me_f You_have_called_me_for_this?_We_would_never_surrender_to_the_likes_of_you.
qstr_Surrender?_Hah!_We_c Surrender?_Hah!_We_can_hold_these_walls_until_we_all_die_of_old_age,_while_you_most_assuredly_won't.
qstr_8000 8000
qstr_5000. 5000.
qstr_3000 3000
qstr_2000. 2000.
qstr_1000 1000
qstr_{s6}_has_joined_your {s6}_has_joined_your_party.
qstr_{s1}_Rebels {s1}_Rebels
qstr_I_am_{s4}_the_ruler_ I_am_{s4},_the_ruler_of_the_{s6}
qstr_I_am_{s4}_a_vassal_o I_am_{s4},_a_vassal_of_the_{s6}
qstr_{s7}_and_{s8} {s7}_and_{s8}
qstr_{!}{s7}_{s8} {!}{s7},_{s8}
qstr_{s9}{reg5?_and_the_l {s9}{reg5?_and_the_lord_of_{s8}.:.
qstr_My_name_is_{s4}_and_ My_name_is_{s4},_and_I_come_from_{s8}._I_am_looking_for_adventure_and_glory_on_the_battlefield.
qstr___The_ugly_face_of_a --The_ugly_face_of_a_smiling_man_appears_before_you.--
qstr_Fergus_Mael_Bresail_ Fergus,_Mael_Bresail's_man_at_the_farm,_told_you_that_the_feast_was_prepared_for_twenty-five_people._You_must_bring_more_companions.
qstr_Fergus_Mael_Bresail_s Fergus,_Mael_Bresail's_man_at_the_farm,_told_you_that_the_feast_was_prepared_for_twenty-five_people._You_must_dismiss_or_leave_the_rest_of_your_men_at_a_nearby_camp._Then,_return_to_him.
qstr_Around_you_everybody Around_you,_everybody_becomes_busy_on_the_farm_as_the_feast_starts.
qstr_The_chronicler_has_p The_chronicler_has_promised_to_write_about_your_life_and_proclaim_to_the_world_that_you_are_Konungr_of_the_Norse_if_you_subjugate_the_Norse_towns:_{s3},_{s9}_and_{s11}.
qstr_The_chronicler_has_pr The_chronicler_has_promised_to_write_about_your_life_and_proclaim_to_the_world_that_you_are_the_Vrenhin_Lloegr_if_you_subjugate_the_Briton_towns:_{s3},_{s9}_and_{s11}.
qstr_The_chronicler_has_pro The_chronicler_has_promised_to_write_about_your_life_and_proclaim_to_the_world_that_you_are_the_Ard_Ruire_of_Eriu_if_you_subjugate_the_Goidelic_towns:_{s3},_{s9}_and_{s11}.
qstr_The_chronicler_has_prom The_chronicler_has_promised_to_write_about_your_life_and_proclaim_to_the_world_that_you_are_the_Brytenwalda_over_all_Englaland_if_you_subjugate_the_Angle_and_Saxon_towns:_{s3},_{s9}_and_{s11}.
qstr_Mael_Bresail_has_use Mael_Bresail_has_used_you_to_kill_Flaithbertach's_children._Now,_many_of_the_lords_of_northern_Ireland_hate_you_for_being_a_murderer_of_royalty._Your_options_are_limited,_but_it_seems_that_all_involve_meeting_with_Mael_Bresail_on_his_farm_near_{s3}._He_promised_to_give_you_a_lot_of_peningas._Whatever_you_decide_at_this_meeting_will_determine_your_destiny.
qstr_Mael_Bresail_has_used Mael_Bresail_has_used_you_to_kill_Flaithbertach's_children._Now,_many_of_the_lords_of_northern_Ireland_hate_you_for_being_a_murderer_of_royalty._Your_options_are_limited,_but_it_seems_that_all_involve_meeting_with_Mael_Bresail_on_his_farm_near_{s3}._Whatever_you_decide_at_this_meeting_will_determine_your_destiny.
qstr_Note_4:_You_chose_to Note_4:_You_chose_to_spare_Mael_Bresail's_life._Both_of_you_made_oaths_to_not_cross_ways_ever_again.
qstr_Note_4:_Morrigan_for Note_4:_Morrigan_forces_you_to_end_the_life_of_Mael_Bresail.
qstr_Note_4:_You_killed_M Note_4:_You_killed_Mael_Bresail_in_revenge_for_his_ambush_on_the_farm.
qstr_Morrigan_has_died._R Morrigan_has_died._Return_to_the_abbot_to_get_your_reward_and_maybe_some_answers.
qstr_Note_3:_You_chose_to Note_3:_You_chose_to_kill_Morrigan.
qstr_Oh_I_m_no_murderer.. Oh,_I'm_no_murderer..._I_am_only_trying_to_help_Bal_Luighne._(Phlegmatic)
qstr_My_duty_is_but_to_pr My_duty_is_but_to_protect_the_people_of_Bal_Luighne._(Melancholic)
qstr_I_am_not_a_murderer. I_am_not_a_murderer._You_attacked_Bal_Luighne,_and_now_I_will_kill_you._(Choleric)
qstr_My_only_goal_is_to_k My_only_goal_is_to_kill_you_for_what_you_did_to_Bal_Luighne,_witch_(Sanguine)
qstr_Morrigan_has_joined_ Morrigan_has_joined_your_party._Return_to_the_abbot_to_get_your_reward_and_maybe_some_answers.
qstr_Note_3:_You_chose_to_ Note_3:_You_chose_to_spare_the_life_of_Morrigan_and_seek_answers_from_Mael_Bresail._Morrigan_has_joined_your_shield_wall.
qstr_My_parents_gave_me_t My_parents_gave_me_the_name_of_{playername}._I_am_the_third_champion_you_were_waiting_for._(Phlegmatic)
qstr_Well_I_am_{playernam Well,_I_am_{playername},_the_third_champion._(Melancholic)
qstr_My_name_is_{playerna My_name_is_{playername},_the_third_and_foremost_champion._(Choleric)
qstr_I_am_{playername}._A I_am_{playername}._As_the_third_champion,_I_feel_honored_to_meet_you._(Sanguine)
qstr_Ah_well_we_were_wait Ah,_well,_we_were_waiting_outside_the_old,_burned-out_pagan's_place._You_made_us_wait_quite_a_long_time.
qstr_Now_you_decide_to_sh Now_you_decide_to_show_up._You_arrive_late.
qstr_Yes_yes_I_see_and_yo Yes,_yes,_I_see,_and_you_have_grandma._Anyway,_we_waited_several_days_for_your_arrival,_and_I'm_not_as_sure_as_you_that_it_was_worth_it.
qstr_Short_and_polite!_Th Short_and_polite!_That's_fine._Too_bad_you_have_not_left_us_time_for_proper_ceremony,_late_as_you_are.
qstr_After_being_defeated After_being_defeated_by_Morrigan,_you_met_the_other_two_champions,_Aed_and_Olchobar._After_talking_to_them,_you_have_parted_ways._They_will_follow_Morrigan_while_you_go_back_to_{s3}._It_looks_like_Caliacas_has_problems.
qstr_Note_2:_Despite_thei Note_2:_Despite_their_cowardice_and_refusal_to_help_defeat_Morrigan,_you_spared_the_lives_of_the_other_two_champions_in_Morrigan's_lair.
qstr_Note_2:_You_chose_ki Note_2:_You_chose_kill_the_other_champions_for_their_cowardice_in_Morrigan's_lair.
qstr_Note_3:_Without_rega Note_3:_Without_regard_to_Ulf's_rules,_you_decided_to_let_Egil_and_Thora_have_a_conversation.
qstr_Note_3:_You_decided_ Note_3:_You_decided_to_respect_Ulf's_rules_and_protect_the_dignity_of_his_daughter,_Thora.
qstr_Note_3:_Without_regar Note_3:_Without_regard_to_Ulf's_rules,_you_decided_to_have_a_romance_with_Thora,_his_daughter.
qstr_{s9}_has_good_relati {s9}_has_good_relations_with_you.
qstr_{!}{s2}^{s4} {!}{s2}^{s4}
qstr___Ulf_seems_very_hap --Ulf_seems_very_happy._He_carries_in_his_hands_the_sword_and_chainmail_of_Orm_Svarti.--
qstr_Thanks_for_sharing_y Thanks_for_sharing_your_drink_and_your_food_with_us,_Ulf._(Phlegmatic)
qstr_Thanks_for_sharing_yo Thanks_for_sharing_your_drink_and_your_food_with_us,_Ulf._(Melancholic)
qstr_Sour_milk_and_butter Sour_milk_and_buttered_bread?_Don't_you_have_anything_better?_(Choleric)
qstr_Sour_milk_and_buttere Sour_milk_and_buttered_bread?_We_will_accept_your_poor_hospitality,_but_I_expected_better_from_a_man_like_you._(Sanguine)
qstr___He_spits_out_what_ --He_spits_out_what_he_was_eating_and_throws_away_his_skvr_horn.--
qstr___She_raises_her_han --She_raises_her_hands,_calling_for_calm.--
qstr___He_applauds.__ --He_applauds.--
qstr_Your_men_think_that_you_a Your_men_think_that_you_are_a_great_leader.
qstr_{s11}_thinks_that_yo {s11}_thinks_that_you_are_a_weak_leader.
qstr_{s14} {s14}
qstr_Your_men_think_that_you_ar Your_men_think_that_you_are_a_weak_leader.
qstr___Both_stop_surprise --Both_stop,_surprised_by_your_authoritative_tone._Egil_turns_to_you,_nervous.--
