str_yes|Sí.
str_npc11_intro|Heill, {reg59?guapa:guapo}. Te he estado observando desde hace tiempo.
str_npc12_intro|Heill, {reg59?señora:señor}. Encantado de conocerte.
str_npc13_intro|¿Sí? ¿Qué necesitas?
str_npc14_intro|Hail, viajero. Soy Ailchu, un guerrero gaélico. Sin duda habrás oído hablar de mí.
str_npc15_intro|Yeia sou! Yeia sou! Hola, {reg59?señora:señor}. Soy Aghatinos. Por un casual, ¿no habréis pensado abandonar este lugar?
str_npc16_intro|Ah... tú... yo...
str_npc1_intro_response_1|Sí, lo sé. Háblame de ti.
str_npc2_intro_response_1|Habla, Egil
str_npc3_intro_response_1|Cálmate. No deseo hacerte daño. ¿Por qué tienes tanto miedo?
str_npc4_intro_response_1|No eres muy hablador, ¿verdad?
str_npc5_intro_response_1|Ciertamente. ¿Con quién tengo el placer de beber?
str_npc6_intro_response_1|¿Continuo, amigo?
str_npc7_intro_response_1|Mis disculpas. Sólo quería decir que la suerte no te acompaña.
str_npc8_intro_response_1|Tan sólo pasar el día, extranjero, si no tienes otra cosa que hacer.
str_npc9_intro_response_1|Debe confundirme con otra persona, señor.
str_npc10_intro_response_1|¿Por qué dices eso, buen hombre?
str_npc11_intro_response_1|¿Quién eres y por qué me estás mirando?
str_npc12_intro_response_1|Encantado de conocerte.
str_npc13_intro_response_1|Para pasar el día junto a un compañero de viaje, si me lo permites.
str_npc14_intro_response_1|Um... no lo creo.
str_npc15_intro_response_1|Lo estoy. ¿En qué te atañe eso, si se puede saber?
str_npc16_intro_response_1|¿Eres tímido?
str_npc1_intro_response_2|Sí, ya sé que él quiere que te unas a mí, pero no te necesito. Adiós.
str_npc2_intro_response_2|Tengo cosas mejores que hacer.
str_npc3_intro_response_2|Muévete, muchacha. Tengo mucho trabajo, y ninguna intención de hacer lo que tanto temes que haga.
str_npc4_intro_response_2|No.
str_npc5_intro_response_2|No tengo tiempo para eso.
str_npc6_intro_response_2|Tengo mejores cosas que hacer.
str_npc7_intro_response_2|De acuerdo. Yo no te molestaré entonces.
str_npc8_intro_response_2|Nada en absoluto, viniendo de alguien tan poco aficionado a las bromas. Que tengas un buen día.
str_npc9_intro_response_2|¡Tráelo tú mismo!
str_npc10_intro_response_2|Eso suena arrogante, y no voy a escucharlo. Que tengas un buen día.
str_npc11_intro_response_2|¡No tengo tiempo para esto!
str_npc12_intro_response_2|Lo siento, me temo que estoy ocupado en este momento.
str_npc13_intro_response_2|Nada en absoluto. Mis disculpas.
str_npc14_intro_response_2|No, y tampoco puedo decir que tenga ganas de conocerte.
str_npc15_intro_response_2|Te estaría agradecido si te ocuparas de tus propios asuntos, señor.
str_npc16_intro_response_2|Me voy. Cuando aprendas a hablar, dímelo.
str_npc1_backstory_a|Señor, soy el hijo más joven del hombre al que llaman el Viejo Romano. Como sabéis, mi familia es una leyenda en esta tierra. Preservamos la historia de nuestros antepasados, que defendieron con su sangre el Muro de Adriano. 
str_npc2_backstory_a|Dame algo de tiempo, {reg59?señora:señor}. Escucha mi historia. Para ti soy importante.
str_npc3_backstory_a|Yo... lo siento. Pero, por favor, entienda que mi vida ha sido un infierno desde que comencé a servir en la casa del jarl de Kennemer.
str_npc4_backstory_a|Soy un hombre de acción. Si quieres un charlatán, búscate a un cura.
str_npc5_backstory_a|Soy Morgant de Bosvenegh. Sin embargo, de momento son un exiliado...
str_npc6_backstory_a|Debería estar muerto, y aún sigo vivo, cuando quienes deberían vivir están muertos. Llegué a considerar al Woden Ric, el barco que me trajo al norte, como un verdadero hogar, y a su tripulación como mi familia. Así que, cuando los vikingos nos atacaron, tomé la espada y el escudo, dispuesto a defender a mi familia hasta el final.^^La mayoría de los cántabros son cristianos, pero algunos aún recordamos a los antiguos dioses. Uno de ellos, Erudino, es quien nos guía en la batalla; de modo que grité su nombre mientras cargaba con la espada.
str_npc7_backstory_a|¿Mi suerte? Podría llamarse de ese modo.
str_npc8_backstory_a|Ah. Bueno, si debes saberlo, te lo diré. No mucha gente de aquí escucha al bueno de Reginhard.
str_npc9_backstory_a|Mis más humildes disculpas. A veces resulta difícil reconocer a la gente entre el humo y oscuridad que hay aquí. Aún no me puedo creer que deba vivir en un lugar como este.
str_npc10_backstory_a|Es una larga historia, aunque si me invitas a un trago estaré encantado de contártela.
str_npc11_backstory_a|Cálmate, {reg59?guapa:guapo}. Sería mejor que mostrases algo de gratitud, mas déjame que me presente. Mi nombre es Solveig Olafsdottir y no soy una mujer cualquiera: soy una skjaldmo.
str_npc12_backstory_a|Creo que es un buen momento para presentarme formalmente, ya que es probable que nuestros caminos converjan. Mi nombre es Asbjorn de Odinsve, y soy un loeknir, un humilde médico que ha pasado cierto tiempo en Frankia hasta que hace unos meses volví a Danmark.
str_npc13_backstory_a|Muy bien. No importa. Mi nombre es Helgi, vencedor de daneses y eslavos.
str_npc14_backstory_a|¿No? Entonces tal vez habrás oído hablar de mi corcel, que atraviesa las llanuras con la celeridad del rayo. O habrás escuchado historias acerca de mi espada, bañada en la sangre de los nobles de Hibernia...
str_npc15_backstory_a|Permíteme presentarme. Soy ingeniero, especializado en el arte de la fortificación. Si quieres derribar una muralla, yo soy tu hombre. Y si necesitas construirla de nuevo, también soy tu hombre... aunque me llevará mucho más de tiempo y te costará más plata.
str_npc16_backstory_a|Disculpe, {reg59?señora:señor}... soy un hombre de Dios, un sacerdote de Cristo. Eres {playername}...
str_npc1_backstory_b|Soy un excelente rastreador. En realidad, soy el mejor rastreador de los alrededores, dado que mi labor siempre ha sido proteger a mi familia cuando salíamos de las cuevas. Al ponerme a tu servicio, mi padre te ha hecho un gran favor.
str_npc2_backstory_b|Soy hijo del rey Horik, pero no uno legítimo. Al rey le gustan las mujeres hermosas y... bueno, mi madre era una de las criadas de la reina. Así fue como llegué a este mundo, supongo. Pasé una feliz infancia allá en Ribe, hasta que el rey decidió que me criaran en casa de uno de sus huscarls, un tipo duro y violento. Insistió en enseñarme a manejar la lanza, la espada y el escudo, pero jamás me permitió beber hidromiel o frecuentar la compañía femenina. ¿Puedes imaginar alguien tan cruel como para someter a un muchacho a tales privaciones?
str_npc3_backstory_b|Crecí en un pequeño pueblo, llamado Doccinga. Aquellos fueron días felices. Mi padre, Thonkrik, se hizo cargo de mí desde que mi madre murió, hasta que un día el jarl de Kennemer pasó por nuestro poblado y me vio. Él, maldito sea, obligó a mi padre a que me enviara a su casa para convertirme en la criada de su esposa. Él prometió que me respetaría, y sin embargo mintió. No quiero hablar de ello... desde entonces, he sido más una esclava que una sirvienta, una propiedad de él y de sus hombres.
str_npc4_backstory_b|Lo que importa, y lo que deberías saber, es que mi nombre es Donnchadh de Dal Riata y soy escoto.
str_npc5_backstory_b|Hasta donde alcanza la memoria, nuestra familia se ha enfrentado a otro clan vecino. Muchos hombres han muerto en la lucha, por ambos lados, incluyendo a dos de mis hermanos. El rey de Cornubia nos ordenó que dejáramos de lado nuestras rencillas, mas la sangre de mis hermanos reclamaba venganza. Asalté y di muerte a un enemigo en una senda de montaña; me vi forzado a huir esa misma noche, sin tener siquiera la oportunidad de decirle adiós a mi padre. Más tarde me dijeron que el rey me había exiliado, tras despojarme de mis derechos de linaje. Ahora vivo condenado a vagar sin un hogar, sin una familia y sin una patria.
str_npc6_backstory_b|No soy idiota. Sabía que la batalla estaba perdida. Nos superaban en número, tenían mejores armas; pero rogué a Erudino que me dejará matar a tantos como fuera posible, antes de partir al otro mundo. Tal vez mi sacrificio hubiese permitido huir al resto, o causado alguna inquietud entre los vikingos. Pero eran hombres bregados en la lucha, que conocían bien su oficio. Me rodearon y fui golpeado en la nuca, mientras el resto abordaba el Woden Ric, matando a quien se interponía en su camino...
str_npc7_backstory_b|Fue mala suerte que un estúpido señor de la guerra picto me ordenase reconocer aquel bosque de noche. Fue mala suerte que el enemigo nos hubiese preparado una emboscada y nos superara en número. Fue mala suerte que yo fuera el único que lograse escapar de aquella matanza. Fue mala suerte que el consejo tribal me considerase un traidor, y tuviera que huir de mi gente para salvar la vida. Es esa misma mala suerte la que me obliga a contarte todo esto ahora.
str_npc8_backstory_b|No hay mucha gente por aquí que escuche al bueno de Reginhard. Nací en Dorestad, mi vida no ha sido precisamente fácil. Aun así era feliz hasta que a mi esposa y mis dos hijos se los llevó una plaga hace dos años. Tenía una granja, ¿sabes? Y la vendí porque todo lo que había en ella me recordaba a mi familia. Sé que sólo soy un borracho y un idiota; nadie desea estar conmigo... al menos hasta que tú llegaste.
str_npc9_backstory_b|Soy un noble franco, el primogénito de mi padre, su heredero y el guerrero más valiente en su casa. Pero mi madre murió, y él se volvió a casar con una viuda. Su nueva esposa tenía un hijo y creyó que debía ser él quien heredase el feudo. No podía conspirar contra mí abiertamente... hace unos días, alguien envenenó a uno de mis perros de caza. Acusé a mi madrastra en público, pero mi padre, confundido por algún conjuro, se negó a creerme y ordenó que me marchara.
str_npc10_backstory_b|Soy un guerrero sajón. He peleado toda mi vida contra los galeses, y también contra los anglos. El destino de West Seaxe es dominar sobre toda Englaland. Es su odio y soberbia lo que impide que esta tierra se halle bajo un solo rey. Tal como yo lo veo, sólo un soberano sajón o, al menos, un hombre que no acepte su arrogancia, puede traer la paz a esta tierra.
str_npc11_backstory_b|A juzgar por tu cara, veo que no sabes de lo que estoy hablando. He de admitir que no hay muchas como yo, y aquí, en Danmark, incluso menos que en mi tierra, Northvegr. Una skjaldmo es una doncella que ha decidido empuñar la espada. Y también emplea los versos como arma, pues la poesía y la guerra provienen de la misma fuente.
str_npc12_backstory_b|En mi camino de regreso a Odinsve, llegué a Ribe y permanecí en este lugar durante unos meses, sirviendo a los nobles locales (y a los no tan nobles). Supongo que todo ello me otorgó el suficiente prestigio como para ser convocado en el Thing celebrado hace unos días.
str_npc13_backstory_b|Soy el segundo hijo de un hersir del este de Northvegr. Soy un vikingo de origen sueco y vine a buscar fortuna en Englaland, en lugar de viajar hacia el este, como muchos de mis compatriotas que se unieron a los rus. Soy bueno instruyendo en el arte de la guerra y conozco todas las tácticas. Por desgracia, el jarl de este lugar desprecia la disciplina que sería necesaria para convertir a esa chusma en auténticos guerreros. Le dije que sería más clemente azotarlos ahora que enterrarlos más tarde. Pero él no quiso escucharme, y me animó que ofreciera mis servicios en cualquier otra parte.
str_npc14_backstory_b|Siempre he sido un guerrero, no un campesino o un ganapán. Sólo un guerrero. Reconozco sentir un cierto afecto modesto hacia estas islas, y en los últimos años he visitado sus ciudades, fortalezas y pueblos, poniendo en práctica mi único talento.
str_npc15_backstory_b|Soy un hombre desafortunado. Procedo de Konstantinoupolis, muy lejos de aquí... Tal vez hayas oído hablar de esa enorme ciudad, a la que los varegos llaman Mikligard. Hace años, un grupo de ellos me secuestró y acabé aquí, en el lejano norte. Los varegos me vendieron como esclavo al jarl de Hordaland. He trabajado para él hasta hace unos días, cuando ahorré lo suficiente para comprar mi libertad.
str_npc16_backstory_b|Lo siento... soy un idiota. Me presentare: mi nombre es Beda. Me uní a la Santa Iglesia cuando tan sólo era un niño y con el tiempo me convertí en sacerdote. Creo que incluso el guerrero con el corazón más endurecido por la guerra alberga en él un lugar para Cristo; tal vez, en un muro de escudos podré cumplir mejor la labor de Dios antes que en una sacristía.
str_npc1_backstory_c|Por mi parte, sólo puedo decir que deseaba viajar y conocer el mundo. Tú me has dado esa oportunidad. Me alegro de que, cuando mi padre nos preguntó a los hermanos quién estaba dispuesto a satisfacer su deuda, me ofreciera yo voluntario.
str_npc2_backstory_c|Ahora sirvo en la guardia personal del rey Horek. No estoy contento, pues me hallo bajo la sombra de hombres audaces, endurecidos en la batalla, que ganaron ese rango gracias a su esfuerzo, mientras que a mí me lo concedieron sólo por ser el hijo bastardo del rey.
str_npc3_backstory_c|Deseaba desesperadamente escapar. Si tan sólo pudiera empezar una vida nueva, esta vez libre... ¡Podrías llevarme contigo! Yo podría atender las heridas de tus hombres, incluso aprender el oficio de las armas, si fuese necesario. ¿Me llevarás contigo, {reg59?señora:señor}?
str_npc4_backstory_c|Otra cosa importante es que detesto a los pictos. Sí, ya sé que tanto ellos como mi gente están gobernados por los reyes de Alban, pero eso no nos convierte en un solo pueblo. Nosotros somos gaélicos, y no esas ratas.
str_npc5_backstory_c|Así que, al verme despojado de mi patrimonio, cualquier oportunidad de ganarme la vida con la espada siempre es bienvenida.
str_npc6_backstory_c|Vi a todos vencidos: el capitán, los marineros, los arqueros que protegían la nave... pensé que iba a morir, hasta que me desperté en el barco vikingo, atado de pies y manos. Había sido hecho prisionero, pero por fortuna logré escapar. He sido maldecido ante Erudino: debería estar muerto y ellos con vida. Ahora sólo busco redención.
str_npc7_backstory_c|Pero no creo que me haya abandonado la fortuna, extranjero. Al menos no más que cualquier otra mujer de este mundo; ese remanso fétido, poblado por alimañas que sólo viven para matar a su odiado enemigo, donde el camino del cazador resulta mejor que el del guerrero ignorante. 
