qstr_Breaking_camp...|Levantando el campamento...
qstr_Note_Bodo:_Bodo_is_i|Nota Bodo: Bodo es responsable, de forma indirecta, de la muerte de la gente del Woden Ric. Tu sentido de la justicia dicta que él ha de morir una vez que Sven Cuello de Toro haya muerto, para expiar su culpa. Te has comprometido a matarlo.
qstr___He_shrugs.__|--Se encoge de hombros.--
qstr_Finally_all_roads_le|Al fin, todos los caminos conducen a {s11} Serpiente en el Ojo. Sven Cuello de Toro se ha apoderado de tu madre, pues {s11} quiere un objeto que Bodo le entregó a ella, además de querer interrogarla sobre una información importante que él le confió. Sven cree que tu madre es la portadora del objeto, y no Bodo. Por ese motivo aún está viva. Debes darte prisa, antes de que Sven descubra el engaño y la mate. 
qstr_Finally_all_roads_lea|Al fin, todos los caminos conducen a {s11} Serpiente en el Ojo. Sven Cuello de Toro se ha apoderado de tu madre, pues {s11} quiere un objeto que Bodo le entregó a ella, además de querer interrogarla sobre una información importante que él le confió. Sven cree que tu madre es la portadora del objeto, y no Bodo. Por ese motivo aún está viva. Debes darte prisa, antes de que Sven descubra el engaño y la mate.
qstr___He_takes_the_mead_|--Se lleva la jarra de hidromiel a los labios, da un largo trago y luego te mira.--
qstr_You_don_t_trust_me._|No confías en mí. Lo entiendo, soy nuevo aquí. Tal vez debería irme. (Flemático)
qstr_I_see..._Something_m|Ya veo... Algo te pone nervioso. (Melancólico)
qstr_Look_at_me._Who_else|Mírame. ¿Quién más de toda esta sala desea sentarse a tu lado? ¡Nadie! (Colérico)
qstr_You_looked_like_some|Pareces ser alguien capaz de apreciar a un amigo, pero no puedo ir de nuevo. (Sanguíneo)
qstr_{s21}_seems_happy.|{s21} parece feliz.
qstr_Please_do_not_leave!|¡Por favor, no te vayas! ¡Sigamos hablando y bebiendo juntos!
qstr_Nervous?_Me?_No_mate|¿Nervioso? ¿Yo? No, compañero. Soy muy peligroso.
qstr_I_ve_just_gotten_to_|Acabo de conocerte. ¿Cómo puedo saber que alguien no te ha enviado para sonsacarme información?
qstr___He_smiles_drinks_a|--Sonríe, bebe de nuevo; la hidromiel le empapa los labios y la barbilla. Entonces eructa.--
qstr___He_seems_not_hear_|--Parece no escucharte. La alegría aflora a su rostro por alguna idea que tiene en mente.--
qstr_{s11}_wants_you_to_m|{s11} quiere que entregues una limosna para las viudas y huérfanos de Frisia, que debes entregar a Adda en {s4}. Su tienda está en el muelle.
qstr___He_looks_happy_to_|--Parece feliz al escuchar sus palabras.--
qstr___He_looks_at_you_wi|--Te mira con una honda preocupación.--
qstr_You_have_decided_to_|Has decidido entregar la carta del rey de Asturias al monarca de West Seaxe. Llévasela a {s11}.
qstr_You_have_decided_to_g|Has decidido entregar la carta a los hijos de Ragnar. Llévasela a {s11}.
qstr___Bodo_seems_overcom|--Bodo parece recuperarse.--
qstr_Note_Bodo:_With_your|Nota Bodo: Con tu decisión de entregar la carta del rey de Asturias a los daneses, Bodo se sintió traicionado. El cántabro ha abandonado tu hueste tras amenazarte de muerte en caso de que os volváis a encontrar.
qstr___His_face_goes_from|--Su rostro cambia del desconcierto a una furia incontrolada.--
qstr___Brunhild_comes_up_|--Brunhild se te acerca y te abraza con fuerza.--
qstr___His_eyes_are_a_wel|--Sus ojos son un pozo de tristeza y las lágrimas surcan sus mejillas.--
qstr___Egil_bares_his_tee|--Egil muestra los dientes. Parece enfadado.--
qstr_Note_Reginhard:_Regi|Nota Reginhard: Reginhard te traición ante el Thing y tuviste que matarlo en un holmgang decretado por la asamblea.
qstr_Your_men_think_that_|Tus hombres te consideran un líder fuerte.
qstr___He_seems_surprised|--Parece sorprendido, pero la sorpresa pronto es superada por una intensa ira.--
qstr_Your_men_think_that_y|Tus hombres te consideran un líder débil.
qstr_Note_Egil:_Reginhard|Nota Egil: Reginhard te traición ante el Thing, pero lo perdonaste. Sin embargo, Egil no aceptó tu decisión, y tuviste que matarlo en un holmgang siguiendo las leyes de la asamblea.
qstr_Note_Egil:_Reginhard_|Nota Egil: Reginhard te traicionó en el Thing, pero le perdonaste la vida. Sin embargo, Egil no aceptó tu decisión, y tuviste que matarlo en un holmgang según las leyes de la asamblea.^Al final, expulsaste a Reginhard de tu hueste, incapaz de perdonarle su traición.
qstr_Note_Egil:_Reginhard_b|Nota Egil: Reginhard te traicionó en el Thing, pero le perdonaste la vida. Sin embargo, Egil no aceptó tu decisión, y tuviste que matarlo en un holmgang según las leyes de la asamblea.^Al final, también acabaste con Reginhard, incapaz de perdonarle su traición.
qstr___Reginhard_gathers_|--Reginhard recoge sus cosas y se marcha.--
qstr_Your_men_think_that_yo|Tus hombres creen que eres un líder difícil.
qstr___You_approach_Regin|--Te acercas a Reginhard y le cortas el cuello con un cuchillo. Contemplas cómo se derrumba, mientras se desanga, hasta que sus ojos se cierran.--
qstr_Your_men_think_that_you|Tus hombres creen que eres un líder implacable, aunque echarán de menos el carisma de Egil.
qstr___He_seems_happy_to_|--Se muestra feliz al escuchar tus palabras.--
qstr_Your_men_think_that_you_|Tus hombres creen que eres un líder débil, incapaz de castigar la traición.
qstr___He_pushes_the_jar_|--Empuja la jarra hacia un lado y deja caer la cabeza.--
qstr___He_looks_at_you_wit|--Te mira con lágrimas en los ojos.--
qstr_Reginhard_has_joined|Reginhard se te ha unido. Te informa de que Thiaderd y sus hombres están a los pies de las montañas del este de Dorestad. El grupo de Thiaderd es fuerte. Tal vez deberías ir acompañado de una nutrida hueste.
qstr_{s21}_seems_unhappy.|{s21} parece descontento.
qstr_high|alto
qstr_low|bajo
qstr_normal|normal
qstr_Christianity|Cristianismo
qstr_Norse_gods|Dioses nórdicos
qstr_The_subjects_of_our_|Los súbditos de nuestro reino oficialmente creen en {s4}. Los censos indican que {reg13} personas han adoptado nuestra fe.
qstr_The_subjects_of_our_k|Los súbditos de nuestro reino oficialmente creen en {s4}. Los censos indican que  {reg13} personas han renunciado a nuestra fe.
qstr_the_{s12}|el {s12}
qstr_the_{s11}_and_{s12}|el {s11} y {s12}
qstr_the_{s11}_{s12}|el {s11}, {s12}
qstr_We_are_quite_happy_n|Estamos muy contentos de no estar en guerra con nadie.
qstr_We_are_at_war_with_{|Estamos en guerra con {s12}.
qstr___He_seems_pleased._|--Parece complacido.--
qstr___He_seems_upset.__|--Parece molesto.--
qstr___He_seems_distresse|--Parece angustiado.--
qstr___He_looks_at_you_with|--Te mira con los hombros caídos. Se ve como alguien totalmente abatido.--
qstr___He_looks_with_grie|--Te mira con pena.--
qstr___He_spits_on_the_gr|--Escupe en el suelo, sus facciones se endurecen y la tristeza da paso a la ira.--
qstr_Thiaderd_is_dead._Br|Thiaderd está muerto. Lleva la noticia al jarl de {s3}.
qstr___He_looks_over_your|--Te mira por encima del hombro desde la distancia.--
qstr___He_puts_his_hand_on|--Te pone la mano en el hombro y sonríe.--
qstr___He_turns_away_from|--Se aleja de ti esbozando una mueca.--
qstr___He_nods._You_note_|--Asiente. Precibes la preocupación en sus ojos.--
qstr_{playername}_when_we|{playername}, cuando empezamos nuestro largo camino, pocos tuvieron el coraje de apoyarme. Y menos aún parecían dispuestos a poner en riesgo sus vidas por mi causa. Pero tú no dudaste un instante en atacar a mis enemigos. Hemos pasado por muchas cosas juntos, y hubo veces en las que estuve a punto de perder toda esperanza. Pero seguimos en la brecha. Ahora es el momento de que abandone tu lado para reclamar lo que es mío por derecho. A partir de ahora, afrontaré la responsabilidad de gobernar el {s3}. Todavía quedan muchos desafíos y cuento con tu ayuda para superarlos. Y, por supuesto, siempre serás mi más noble vasallo.
qstr_Find_and_speak_with_|Encuentra y habla con {s3} del {s4} para jurarle lealtad.
qstr__We_will_of_course_n| Por supuesto, tenemos que esperar hasta que el reino no se halle en campaña.
qstr_I_do_not_like_this_b|No me gusta todo esto, pero las cosas van mal. ¿Puedes darme garantías?
qstr_Well_I_guess_I_can_a|Bueno, supongo que he de reconocer la derrota. Imagino que nos tratarás bien, ¿no?
qstr_Perhaps..._Do_you_gi|Tal vez... ¿me das tu palabra de honor de que seremos tratados bien?
qstr_There_comes_a_time_w|Llega un momento en que todo buen líder debe hacerse responsable del bienestar de sus hombres. ¿Me das tu palabra de honor de que vamos a ser tratados bien?
qstr_The_fort_has_been_de|El fuerte ha sido defendido por leones, y lo abandonamos con la cabeza bien alta. ¿Puedes garantizar nuestra seguridad?
qstr_Well_I_guess_I_can_ad|Bueno, supongo que he de admitir la derrota. Dejaremos la fortaleza, pero quiero una promesa de que no nos vais a atacar.
qstr_We_are_ready_to_leav|Estamos listos para cederos el fuerte y marcharnos de inmediato, si me das tu palabra de honor de que podremos irnos sin ser molestados.
qstr_There_comes_a_time_wh|Llega un momento en que todo buen líder debe hacerse responsable del bienestar de sus hombres. Abandonamos el fuerte. A cambio, quiero la promesa de que no nos vais a atacar.
qstr_You_re_nothing_but_s|No sois más que escoria. Debéis iros antes de que os matemos.
qstr_You_re_wasting_your_|Estás perdiendo el tiempo. Atacadnos... si tenéis valor
qstr_You_have_called_me_f|¿Me has llamado para esto?? Nunca nos rendiremos ante alguien como tú.
qstr_Surrender?_Hah!_We_c|¿Rendirse? ¡Bah! Podemos defender estos muros hasta que todos muramos de viejos, mientras que vosotros no lo haréis.
qstr_8000|8.000
qstr_5000.|5.000.
qstr_3000|3.000
qstr_2000.|2.000.
qstr_1000|1.000
qstr_{s6}_has_joined_your|{s6} se ha unido a tu hueste.
qstr_{s1}_Rebels|{s1} Rebeldes
qstr_I_am_{s4}_the_ruler_|Soy {s4}, el soberano del {s6}
qstr_I_am_{s4}_a_vassal_o|Soy {s4}, un vasallo del {s6}
qstr_{s7}_and_{s8}|{s7} y {s8}
qstr_{s9}{reg5?_and_the_l|{s9}{reg5? y el señor de {s8}.:.
qstr_My_name_is_{s4}_and_|Mi nombre es {s4}, y procedo de {s8}. Estoy buscando aventura, y la gloria en el campo de batalla.
qstr___The_ugly_face_of_a|--El feo rostro de un hombre sonriente aparece ante ti.--
qstr_Fergus_Mael_Bresail_|Fergus, el hombre de Mael Bresail en la granja, te dijo que la fiesta estaba dispuesta para veinticinco personas. Debes traer más acompañantes.
qstr_Fergus_Mael_Bresail_s|Fergus, el hombre de Mael Bresail en la granja, te dijo que la fiesta estaba dispuesta para veinticinco personas. Debes despedir o dejar al resto de tus hombres en algún campamento próximo. Entonces, regresa con él.
qstr_Around_you_everybody|A tu alrededor, todo el mundo en la granja está ocupado con los preparativos de la fiesta.
qstr_The_chronicler_has_p|El cronista te ha prometido a escribir sobre tu vida y proclamar al mundo que eres un konungr si sometes a las ciudades nórdicas de: {s3}, {s9} y {s11} .
qstr_The_chronicler_has_pr|El cronista te ha prometido a escribir sobre tu vida y proclamar al mundo que eres el Vrenhin Lloegr si sometes a las ciudades britanas de: {s3}, {s9} y {s11}.
qstr_The_chronicler_has_pro|El cronista te ha prometido a escribir sobre tu vida y proclamar al mundo que eres el Ard Ruire de Ériu si sometes a las ciudades gaélicas de: {s3}, {s9} y {s11}.
qstr_The_chronicler_has_prom|El cronista te ha prometido a escribir sobre tu vida y proclamar al mundo que eres el Brytenwalda de toda Englaland si sometes a las ciudades anglosajonas de: {s3}, {s9} y {s11}.
qstr_Mael_Bresail_has_use|Mael Bresail te ha utilizado para matar a los hijos de Flaithbertach. Ahora, muchos de los señores del norte de Ériu te odian por ser un asesino de la realeza. Tus opciones son limitadas, pero parece que debes reunirte con Mael Bresail en su granja cerca de {s3}. Él prometió darte una gran cantidad de peniques. Decidas lo que decidas, esta reunión sellará tu destino.
qstr_Mael_Bresail_has_used|Mael Bresail te ha utilizado para matar a los hijos de Flaithbertach. Ahora, muchos de los señores del norte de Ériu te odian por ser un asesino de la realeza. Tus opciones son limitadas, pero parece que debes reunirte con Mael Bresail en su granja cerca de {s3}. Decidas lo que decidas, esta reunión sellará tu destino.
qstr_Note_4:_You_chose_to|Nota 4: Usted decide perdonarle la vida a Mael Bresail. Ambos juráis no cruzar vuestros caminos nunca más.
qstr_Note_4:_Morrigan_for|Nota 4: Las fuerzas de Morrigan te obligan a poner fin a la vida de Mael Bresail.
qstr_Note_4:_You_killed_M|Nota 4: Mataste a Mael Bresail en venganza por su emboscada en la granja .
qstr_Morrigan_has_died._R|Morrigan está muerta. Regresa con el abad para reclamar tu recompensa y tal vez obtengas algunas respuestas.
qstr_Note_3:_You_chose_to|Nota 3: Elegiste matar a Morrigan.
qstr_Oh_I_m_no_murderer..|Oh, no soy un asesino... Sólo trato de ayudar a Bal Luighne. (Flemático)
qstr_My_duty_is_but_to_pr|Mi deber es proteger a la gente de Bal Luighne. (Melancólico)
qstr_I_am_not_a_murderer.|No soy ningún asesino. Atacaste Bal Luighne, y ahora voy a matarte. (Colérico)
qstr_My_only_goal_is_to_k|Mi único objetivo es matarte por lo que hiciste en Bal Luighne, bruja. (Sanguíneo)
qstr_Morrigan_has_joined_|Morrigan se ha unido a tu hueste. Regresa con el abad para reclamar tu recompensa y tal vez obtener algunas respuestas.
qstr_Note_3:_You_chose_to_|Nota 3: Elegiste perdonar la vida de Morrigan y buscar respuestas sobre Mael Bresail. Morrigan se ha unido a tu muro de escudos.
qstr_My_parents_gave_me_t|Mis padres me dieron el nombre de {playername}. Yo soy el tercer campeón que estabas esperando. (Flemático)
qstr_Well_I_am_{playernam|Bueno, soy {playername}, el tercer campeón. (Melancólico)
qstr_My_name_is_{playerna|Mi nombre es {playername}, el tercer y principal campeón. (Colérico)
qstr_I_am_{playername}._A|Soy {playername}. Como tercer campeón, me siento honrado de conoceros. (Sanguíneo)
qstr_Ah_well_we_were_wait|Ah, bien, estábamos esperando junto al antiguo e incendiado lugar de culto pagano. La espera se nos hizo bastante larga.
qstr_Now_you_decide_to_sh|Ahora decides aparecer. Llegas tarde.
qstr_Yes_yes_I_see_and_yo|Sí, ya veo, y tienes abuela. En cualquier caso, esperamos durante varios días tu llegada, y no estoy seguro de que haya valido la pena.
qstr_Short_and_polite!_Th|¡Breve y educado! Eso está bien. Lástima que no nos quede tiempo para más ceremonias, a causa de tu tardanza.
qstr_After_being_defeated|Después de ser derrotado por Morrigan, te reuniste con los otros dos campeones, Aed y Olchobar. Tras hablar con ellos, has roto relaciones. Ellos seguirán a Morrigan mientras tú regresas a {s3}. Parece que Caliacas tiene problemas.
qstr_Note_2:_Despite_thei|Nota 2: A pesar de tu cobardía y tu negativa a ayudar para derrotar a Morrigan, salvastes las vidas de los otros dos campeones en la guarida de Morrigan.
qstr_Note_2:_You_chose_ki|Nota 2: Elegiste matar a los otros dos campeones por su cobardía en la guarida de Morrigan.
qstr_Note_3:_Without_rega|Nota 3: Ignorando las normas de Ulf, decidiste permitir que Egil y Thora mantuvieran una conversación.
qstr_Note_3:_You_decided_|Nota 3: Decidiste respetar las normas de Ulf y proteger la dignidad de su hija, Thora.
qstr_Note_3:_Without_regar|Nota 3: Ignorando las normas de Ulf, decidiste tener un romance con su hija Thora.
qstr_{s9}_has_good_relati|{s9} tiene buenas relaciones contigo.
qstr___Ulf_seems_very_hap|--Ulf parece muy contento. Lleva en sus manos la espada y la cota de malla de Orm Svarti.--
qstr_Thanks_for_sharing_y|Gracias por compartir tu bebida y tu comida con nosotros, Ulf. (Flemático)
qstr_Thanks_for_sharing_yo|Gracias por compartir tu bebida y tu comida con nosotros, Ulf. (Melancólico)
qstr_Sour_milk_and_butter|¿Leche agria y pan con mantequilla? ¿No tienes nada mejor? (Colérico)
qstr_Sour_milk_and_buttere|¿Leche agria y pan con mantequilla? Aceptamos tu miserable hospitalidad, pero esperaba algo mejor de un hombre como tú. (Sanguíneo)
qstr___He_spits_out_what_|--Escupe lo que estaba comiendo y arroja su cuerno.--
qstr___She_raises_her_han|--Alza las manos, solicitando calma.--
